title,publication_date,source,content,url,keywords
Researchers Employ XGBoost and Neural Networks to Predict Housing Productivity in Construction Management,2025-12-27,Unknown,"A recent study conducted by researchers Hassoon, Ghazali, and Khaleel explores the use of advanced machine learning techniques to predict housing...",https://www.geneonline.com/researchers-employ-xgboost-and-neural-networks-to-predict-housing-productivity-in-construction-management/&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIARAC&usg=AOvVaw20P5hkda2Fm-VQ30vr-fJ1,construction machine learning
How machine learning is helping architects design more sustainable cities,2025-12-27,Unknown,Emerging technologies like visualisation and rendering software powered by AI and machine learning enable architects to assess sustainability early in the...,https://www.pbctoday.co.uk/news/digital-construction-news/construction-technology-news/how-machine-learning-helping-architects-design-more-sustainable-cities/157361/&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQICBAC&usg=AOvVaw2D9OV3PqBTgtH6AD0FuJO9,construction machine learning
Machine Learning Projects,2025-12-27,Unknown,"Machine learning is a type of artificial intelligence (AI) that helps computers recognize patterns in data, improving as they receive more information.",https://raleighnc.gov/water-and-sewer/services/machine-learning-projects&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIChAC&usg=AOvVaw2B5Df_wZ5IX4lvFzeabGYX,construction machine learning
How AI and Machine Learning Shape Civil Engineering Projects,2025-12-27,Unknown,"In the modern era, the convergence of artificial intelligence (AI) and machine learning (ML) with civil engineering projects is revolutionizing how...",https://www.ferrovial.com/blog/en/2024/09/ai-and-machine-learning-shape-civil-engineering-projects/&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIBRAC&usg=AOvVaw15oxK6ylKTIKSbdt0Azlkf,construction machine learning
Functional analysis of hyperautomation in construction for advancing efficiency and sustainability through process optimization and technological integration,2025-12-27,Unknown,"The construction industry continues to struggle with inefficiencies, high resource wastage, and persistent safety risks, which hinder progress toward...",https://www.nature.com/articles/s41598-025-25542-y&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIBxAC&usg=AOvVaw3lJtKSw-Cafqs_xDDmaX1K,construction machine learning
Construction and validation of a risk prediction model for complications in patients with acute leukemia based on machine learning,2025-12-27,Unknown,Early-phase severe complications remain a major cause of morbidity and mortality during induction chemotherapy for acute leukaemia.,https://www.nature.com/articles/s41598-025-24478-7&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIAhAC&usg=AOvVaw29wMc9AF-unFf0stA9wQtR,construction machine learning
Multimodal deep learning for entity relation extraction and spatiotemporal decision knowledge graph construction in earthquake emergency rescue,2025-12-27,Unknown,This paper proposes a novel framework integrating multimodal deep learning with spatiotemporal knowledge representation to enhance information processing...,https://www.nature.com/articles/s41598-025-24135-z&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIAxAC&usg=AOvVaw31Bmu0P6EBVKUCgnvTrxvr,construction machine learning
The Future of AI in Construction - Trends and Innovations,2025-12-27,Unknown,"Discover how AI is revolutionizing construction with enhanced safety, efficient project management, and innovative design solutions.",https://www.netguru.com/blog/future-of-ai-in-construction&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIBhAC&usg=AOvVaw0-hbIq0geLa8fJxcbzgpV9,construction machine learning
Cross-modal deep learning enhanced mixed reality accelerates construction skill transfer from experts to students,2025-12-27,Unknown,"The proposed mixed reality training system employs a layered architecture that integrates multimodal data processing, cross-modal learning, and mixed reality...",https://www.nature.com/articles/s41598-025-17656-0&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQICRAC&usg=AOvVaw3tzrpKcSi2q56Peja6OKz6,construction machine learning
Predicting the crack repair rate of self-healing concrete using soft-computing tools,2025-12-27,Unknown,"To tackle the challenges of cracking and insufficient durability in traditional concrete, researchers are exploring self-healing concrete (SHC) as a...",https://www.sciencedirect.com/science/article/abs/pii/S2352492824000230&ved=2ahUKEwjQ2v7fqt2RAxVIRPEDHR4OM8UQxfQBegQIBBAC&usg=AOvVaw2aoUhBNMqz_MNRjOn8scjF,construction machine learning
The Future of AI in Construction - Trends and Innovations,2025-12-27,Unknown,"Discover how AI is revolutionizing construction with enhanced safety, efficient project management, and innovative design solutions.",https://www.netguru.com/blog/future-of-ai-in-construction&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIBxAC&usg=AOvVaw0fWo44W1Q-Hul8yXFObXoz,construction computer vision
7 AI Trends Shaping the Future of Construction Management,2025-12-27,Unknown,The top AI trends in construction industry hint to the redefined future. The market size of AI in the sector to reach $16.96 billion by 2030.,https://dazeinfo.com/2025/10/24/7-ai-trends-shaping-the-future-of-construction-management/&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIBRAC&usg=AOvVaw3lOPO8nhDLQM63WlzpuxJZ,construction computer vision
Buildots Acquires Genda: A Defining Moment for AI-Driven Construction,2025-12-27,Unknown,"Today, Buildots, the Tel Aviv–based leader in AI-powered construction management, announced its acquisition of Genda, a workforce and safety management...",https://www.unite.ai/buildots-acquires-genda-a-defining-moment-for-ai-driven-construction/&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIChAC&usg=AOvVaw3geldXvXU2FbRHoKZYBDnP,construction computer vision
MS in Computer Graphics Technology,2025-12-27,Unknown,"Computer Graphics Technology touches all aspects of computer graphics, from animation to scientific visualization, and from user experience to game studies.",https://polytechnic.purdue.edu/academics/ms-computer-graphics-technology&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIARAC&usg=AOvVaw3DXMqakoo-gYMttQmQJ8Vq,construction computer vision
The Rise of AI in Construction,2025-12-27,Unknown,"When most people hear artificial intelligence (AI) or machine learning, the last thing they think of is technology with a human touch.",https://www.autodesk.com/blogs/construction/ai-construction/&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIBBAC&usg=AOvVaw1_QJdpH6NG2ILKKwpJDwVS,construction computer vision
Rohbau3D: A Shell Construction Site 3D Point Cloud Dataset,2025-12-27,Unknown,"We introduce Rohbau3D, a novel dataset of 3D point clouds that realistically represents indoor construction environments. The dataset comprises 504...",https://www.nature.com/articles/s41597-025-05827-7&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIAhAC&usg=AOvVaw3ZmZwzvWkG7yNXyERjd6aq,construction computer vision
Doxel and Stream Data Centers Partner to Speed Up Construction,2025-12-27,Unknown,"The collaboration will use Doxel computer vision to automatically track construction progress to keep projects on schedule and on budget. MENLO PARK, Calif.",https://aijourn.com/doxel-and-stream-data-centers-partner-to-speed-up-construction/&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQICBAC&usg=AOvVaw0hKDbTXASXH1HeYhqy5m4A,construction computer vision
"Comment: How AI, AR and computer vision are transforming industry",2025-12-27,Unknown,"AI, AR, and computer vision are driving a safer, smarter, and more efficient industrial revolution.",https://www.theengineer.co.uk/content/opinion/ai-ar-computer-vision-are-transforming-industry&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQICRAC&usg=AOvVaw36Bh-lQMeQ7WN4CN6wUg1Z,construction computer vision
How AI computer vision is helping construction projects go digital,2025-12-27,Unknown,"It is hoped that digital solutions with the assistance of AI and ML can be applied to real-world scenarios that can not only help construction companies, but...",https://techhq.com/news/computer-vision-provides-a-new-view-in-construction/&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIAxAC&usg=AOvVaw2IZGa_R9GRYxkWTKdwfbuJ,construction computer vision
Building construction crack detection with BCCD YOLO enhanced feature fusion and attention mechanisms,2025-12-27,Unknown,"An effective algorithm for detecting cracks in bare concrete structures in building construction, capable of identifying small targets, is essential for...",https://www.nature.com/articles/s41598-025-05665-y&ved=2ahUKEwiJ8MPgqt2RAxVQBdsEHVXqGxsQxfQBegQIBhAC&usg=AOvVaw0Z49_ciBE2-uZytqgMgnsy,construction computer vision
Building AI agents the safe way,2025-12-27,Unknown,"The best defense against prompt injection and other AI attacks is to do some basic engineering, test more, and not rely on AI to protect you.",https://www.infoworld.com/article/4110056/building-ai-agents-the-safe-way.html&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIAhAC&usg=AOvVaw1SgmQYoBUVwz2_PrzhkK1I,construction generative AI
2026 Engineering and Construction Industry Outlook,2025-12-27,Unknown,"In 2026, engineering and construction firms can navigate shifting markets and seize new opportunities by focusing on innovation and resilience.",https://www.deloitte.com/us/en/insights/industry/engineering-and-construction/engineering-and-construction-industry-outlook.html&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIBxAC&usg=AOvVaw3-t8WZqz4cvrjE3gBbKFW8,construction generative AI
Vercel CEO Guillermo Rauch: Building the Generative Web with AI,2025-12-27,Unknown,"Summary. Vercel Founder and CEO Guillermo Rauch, who led the creation of Next.js, explains how generative AI is redefining every layer of software creation. His...",https://sequoiacap.com/podcast/training-data-guillermo-rauch/&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIChAC&usg=AOvVaw11tXc68dVh3L_b78SS1YFl,construction generative AI
Bentley Systems to embrace AI and user collaboration across infrastructure,2025-12-27,Unknown,Bentley Systems has unveiled a range of AI capabilities across its infrastructure engineering software applications and announced a new collaborative...,https://www.pbctoday.co.uk/news/digital-construction-news/construction-technology-news/bentley-systems-embraces-ai-user-collaboration-across-infrastructure/156073/&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQICRAC&usg=AOvVaw3hYZf9jfTL8ecgjILXpkCh,construction generative AI
Agentic generative AI for context-aware outlier removal and historical cost optimization in construction,2025-12-27,Unknown,Agentic generative AI for context-aware outlier removal and historical cost optimization in construction ... Digital timecards are widely used in construction to...,https://www.frontiersin.org/journals/built-environment/articles/10.3389/fbuil.2025.1678156/full&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIARAC&usg=AOvVaw3ztjo1I8phTQySR3_0ivHH,construction generative AI
Generative AI Arbitrator Coming Soon For Construction Cases,2025-12-27,Unknown,"The AI arbitrator, leveraging OpenAI's models, will assess construction claims, produce recommendations and draft awards that human arbitrators will review and...",https://www.law360.com/pulse/articles/2388226/generative-ai-arbitrator-coming-soon-for-construction-cases&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIBBAC&usg=AOvVaw2x3mhtQ961Sy-hikY5W1xs,construction generative AI
OpenAI mulls data center construction in Korea,2025-12-27,Unknown,"OpenAI hinted at the possibility of building a data center in Korea and expanding its cooperation with major conglomerates such as Samsung and SK,...",https://www.koreatimes.co.kr/business/tech-science/20250910/openai-mulls-data-center-construction-in-korea&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIBhAC&usg=AOvVaw2DtlgQ1bc8fnXETITc7SQe,construction generative AI
Artificial Intelligence (AI) is poised to revolutionise construction project management,2025-12-27,Unknown,"AI, especially Generative AI, is set to transform Australia's construction project management by boosting efficiency, predicting risks, and enhancing...",https://itbrief.com.au/story/artificial-intelligence-ai-is-poised-to-revolutionise-construction-project-management&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIAxAC&usg=AOvVaw25N6_TcOudgEmBRJWSGkhS,construction generative AI
Top 2024 AI Construction Trends: According to the Experts,2025-12-27,Unknown,What's next for AI in construction in 2024? Industry experts share their trends and outlook for artificial intelligence for construction.,https://www.autodesk.com/blogs/construction/top-2024-ai-construction-trends-according-to-the-experts/&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQIBRAC&usg=AOvVaw3rePJVO1zYDQw9NqLIRruI,construction generative AI
Balfour to invest £7.2m in Microsoft AI assistant,2025-12-27,Unknown,"Balfour Beatty has announced a £7.2m investment in Microsoft Copilot, a generative AI assistant that helps with work tasks by providing suggestions and...",https://constructionmanagement.co.uk/balfour-to-invest-7-2m-in-microsoft-ai-assistant/&ved=2ahUKEwimjoLhqt2RAxUPRfEDHQA8GUsQxfQBegQICBAC&usg=AOvVaw1bzKs4flgjL_J_QZjo9yNk,construction generative AI
Researchers Employ XGBoost and Neural Networks to Predict Housing Productivity in Construction Management,2025-12-27,Unknown,"A recent study conducted by researchers Hassoon, Ghazali, and Khaleel explores the use of advanced machine learning techniques to predict housing...",https://www.geneonline.com/researchers-employ-xgboost-and-neural-networks-to-predict-housing-productivity-in-construction-management/&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIBRAC&usg=AOvVaw1dlMk62wi9yZ7DxHkvIkrJ,construction neural networks
Predicting Housing Productivity with XGBoost and Neural Networks,2025-12-27,Unknown,"In the rapidly evolving field of construction and project management, the quest for enhanced productivity remains a paramount concern.",https://bioengineer.org/predicting-housing-productivity-with-xgboost-and-neural-networks/&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIBxAC&usg=AOvVaw3-sQ4M_IXCq_LGZ7EZkIrB,construction neural networks
Graph neural network–driven text classification for fire-door defect inspection in pre-completion construction,2025-12-27,Unknown,"Defective fire doors in apartment buildings pose significant risks by undermining fire safety measures, enabling the rapid spread of smoke and fire,...",https://www.nature.com/articles/s41598-025-28120-4&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIChAC&usg=AOvVaw1_AV6x1vV8u_Ev7ePW4XBB,construction neural networks
Building compositional tasks with shared neural subspaces,2025-12-27,Unknown,"Cognition is highly flexible—we perform many different tasks1 and continually adapt our behaviour to changing demands2,3. Artificial neural networks trained...",https://www.nature.com/articles/s41586-025-09805-2&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIBhAC&usg=AOvVaw1XemfayG8P11_PViSp34HS,construction neural networks
Intelligent construction method for rock slope fracture network model based on discrete element and neural network,2025-12-27,Unknown,"To address the engineering challenge of accurately characterizing complex internal fracture networks in high-steep rock slopes, this study proposes an...",https://www.nature.com/articles/s41598-025-25409-2&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIAhAC&usg=AOvVaw2z-HlCUjbmGAa461Daj7tI,construction neural networks
OpenAI experiment finds that sparse models could give AI builders the tools to debug neural networks,2025-12-27,Unknown,OpenAI experiment finds that sparse models could give AI builders the tools to debug neural networks ... OpenAI researchers are experimenting with a new approach...,https://venturebeat.com/ai/openai-experiment-finds-that-sparse-models-could-give-ai-builders-the-tools&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIARAC&usg=AOvVaw1hHTXEVvFKtBI0cqyEpnZH,construction neural networks
Building retrofit multiobjective optimization using neural networks and genetic algorithm three for energy carbon and comfort,2025-12-27,Unknown,"Abstract. In response to the urgent need for energy-efficient retrofits in industrial buildings under global climate goals, this study presents a robust multi-...",https://www.nature.com/articles/s41598-025-21871-0&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIAxAC&usg=AOvVaw3Why5nL00XWSnaEAmb3x8e,construction neural networks
Optimizing rural building design with an intelligent framework integrating BES ANN and MCDM,2025-12-27,Unknown,"This study addresses the multi-objective trade-offs among energy consumption, thermal comfort, and construction cost in rural buildings by proposing a...",https://www.nature.com/articles/s41598-025-17605-x&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQICRAC&usg=AOvVaw0MsRZRyFlZnG1eEIut5BEe,construction neural networks
Neural Network Construction Enhances Security of Multivariate Polynomial Digital Signatures,2025-12-27,Unknown,Researchers have developed a new digital signature system that uses the structure of neural networks to create a more secure method of verifying digital...,https://quantumzeitgeist.com/neural-network-construction-enhances-security-of-multivariate-polynomial-digital-signatures/&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQIBBAC&usg=AOvVaw1a65mlvqcekVtIFM1L1s6M,construction neural networks
KAIST’s breakthrough brain model tracks neural activity for 27 days,2025-12-27,Unknown,Want to speak at AMA: Energy 2025 or AMA: Automotive & Mobility 2025? Submit your application now! Researchers at Korea Advanced Institute of Science and...,https://3dprintingindustry.com/news/kaists-breakthrough-brain-model-tracks-neural-activity-for-27-days-242474/&ved=2ahUKEwis78Xhqt2RAxVjB9sEHfVUB3gQxfQBegQICBAC&usg=AOvVaw0PjFlBME9E70fDMNtH6Q7I,construction neural networks
Preparing the Workforce for a Robotic Construction Era | Newswise,2025-12-27,Unknown,"Robots are increasingly being deployed on construction sites to address labor shortages, reduce safety risks, and improve productivity.",https://www.newswise.com/articles/preparing-the-workforce-for-a-robotic-construction-era&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIBhAC&usg=AOvVaw156iCi2TYvqBRMGQx7Z2fg,construction robotics
"Buildroid AI: U.S. Construction Robotics Startup Secures $2M, Plans 2026 Entry - News and Statistics",2025-12-27,Unknown,"Buildroid AI, backed by $2M, uses Nvidia Omniverse digital twins to simulate robotic construction workflows, with plans to enter the U.S. market in 2026...",https://www.indexbox.io/blog/buildroid-ai-prepares-us-market-entry-for-2026-with-construction-robotics/&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIAhAC&usg=AOvVaw2ElGLJ604dBkqQftd-SCIq,construction robotics
Shenzhen Establishes Construction Robotics Alliance,2025-12-27,Unknown,"Gelonghui,December 12 — Recently, the founding ceremony of the Shenzhen Construction Robotics Alliance was successfully held. The Shenzhen Construction...",https://news.futunn.com/en/post/66106924/shenzhen-establishes-construction-robotics-alliance&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIChAC&usg=AOvVaw1jxNXhaEvcSA9mSjEoBxNC,construction robotics
Civ Robotics’ AI-powered CivNav brings solar construction a step closer to autonomy,2025-12-27,Unknown,"Once mounted, CivNav guides the operator where to distribute the piles, PV modules, and more. The intuitive interface enables precise placement with up to 2-...",https://roboticsandautomationnews.com/2025/12/05/civ-robotics-ai-powered-civnav-brings-solar-construction-a-step-closer-to-autonomy/97413/&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIBBAC&usg=AOvVaw0rY9RHyOR1GzQhT0pPvGIK,construction robotics
Robotics and AI combine for a fresh look at housebuilding,2025-12-27,Unknown,All3 is one of a handful of pioneering companies looking to redefine the way homes are built by using AI-powered design and robotics.,https://housingdigital.co.uk/robotics-and-ai-combine-for-a-fresh-look-at-housebuilding/&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQICRAC&usg=AOvVaw1SBbcFGiuzil6mI5d5gjfO,construction robotics
Buildroid raises $2M to launch first block-laying robot,2025-12-27,Unknown,"Buildroid AI, an AI robotics startup, secured $2 million in pre-seed funding led by Tim Draper. The company also announced the launch.",https://mystartupworld.com/buildroid-raises-2m-to-launch-first-block-laying-robot/&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQICBAC&usg=AOvVaw3AGf3l7CrkEhLVihzjaD_2,construction robotics
Buildroid secures $2mln to launch construction robotics in UAE,2025-12-27,Unknown,Buildroid secures $2mln to launch construction robotics in UAE ... UAE: UAE-based AI robotics startup Buildroid AI has raised $2 million in a pre-seed funding...,https://www.zawya.com/en/capital-markets/loans/buildroid-secures-2mln-to-launch-construction-robotics-in-uae-vy1fmnjf&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIBRAC&usg=AOvVaw2fPvdzov07uV6aU7Su28_B,construction robotics
"Construction Robots Business Analysis Report 2025: Market to Reach $659.7 Billion by 2030, Fueled by Demolition Robots, Labor Shortage, and Cost Reduction in Robotic Technology",2025-12-27,Unknown,"The global market for Construction Robots was valued at US$261.8 Billion in 2024 and is projected to reach US$659.7 Billion by 2030, growing at a CAGR of 16.7%...",https://sg.finance.yahoo.com/news/construction-robots-business-analysis-report-143400938.html&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIAxAC&usg=AOvVaw0Fx_8BOPZZFhwMCz2skXFY,construction robotics
UAE’s Buildroid AI Raises $2M Pre-Seed to Deploy Construction Robots,2025-12-27,Unknown,UAE-based startup Buildroid AI has raised $2 million in a pre-seed funding round to accelerate deployment of AI-powered robotic solutions in construction.,https://cairoscene.com/Business/UAE-s-Buildroid-AI-Raises-2M-Pre-Seed-to-Deploy-Construction-Robots&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIARAC&usg=AOvVaw0pWNb3XHCGJiFy4ZCfZSdi,construction robotics
Buildroid AI secures $2mn to deploy AI-powered construction robots in UAE,2025-12-27,Unknown,"Buildroid AI secures $2mn to deploy AI-powered construction robots in UAE ... Buildroid AI, a robotics startup focused on automating construction, has emerged...",https://www.arabianbusiness.com/industries/construction/buildroid-ai-secures-2mn-to-deploy-ai-powered-construction-robots-in-uae&ved=2ahUKEwigzIDiqt2RAxV4SvEDHVi4EKYQxfQBegQIBxAC&usg=AOvVaw1fb8W9OAWCxMfQtFATCZta,construction robotics
Domex 3D Announces Its Plans to Enter the US Construction Market by the End of 2023,2025-12-27,Unknown,"Berlin, Germany--(Newsfile Corp. - December 19, 2023) - A notable company making waves in the 3D printing arena is the...",https://www.newsfilecorp.com/release/190665/Domex-3D-Announces-Its-Plans-to-Enter-the-US-Construction-Market-by-the-End-of-2023%3Flang%3Dfr&ved=2ahUKEwju_cfiqt2RAxUFRfEDHcEbNbwQxfQBegQIBxAC&usg=AOvVaw32x4KuwAYKoMhfpaP3SP0S,construction automation
"""Smart Construction Technology"" Exhibition and Contest Opens at Metaverse",2025-12-27,Unknown,"The Smart Construction Challenge 2021, a festival that showcases and communicates smart construction technology, will be held from September 1 at...",https://www.smarttoday.co.kr/ko-kr/articles/21480&ved=2ahUKEwju_cfiqt2RAxUFRfEDHcEbNbwQxfQBegQIBBAC&usg=AOvVaw0F7xXRYm6jomT86GcZsEs0,construction automation
From Apprenticeships to Automation: Inside Construction’s New Tech-Driven Workforce,2025-12-27,Unknown,"Construction faces a severe labor shortage, but technology-driven training and industry partnerships are helping attract new workers,...",https://www.forconstructionpros.com/business/labor-workforce-development/article/22956108/trimble-solutions-usa-from-apprenticeships-to-automation-inside-constructions-new-techdriven-workforce&ved=2ahUKEwju_cfiqt2RAxUFRfEDHcEbNbwQxfQBegQIChAC&usg=AOvVaw2FehRlS-1DDyVvF2iXGgz_,construction automation
Civ Robotics’ AI-powered CivNav brings solar construction a step closer to autonomy,2025-12-27,Unknown,"Civ Robotics has introduced CivNav, an AI-driven material distribution and machine-control system designed to speed up solar construction.",https://roboticsandautomationnews.com/2025/12/05/civ-robotics-ai-powered-civnav-brings-solar-construction-a-step-closer-to-autonomy/97413/&ved=2ahUKEwju_cfiqt2RAxUFRfEDHcEbNbwQxfQBegQIARAC&usg=AOvVaw30c3hUqnh_f4ib_HkRNoe6,construction automation
