id,title,content,keywords,publication_date,processed_text,ce_areas,ai_technologies,num_ce_tags,num_ai_tags
20,The Rise of AI in Construction,"When most people hear artificial intelligence (AI) or machine learning, the last thing they think of is technology with a human touch.",construction computer vision,2025-12-27,people hear artificial intelligence machine learning last thing think technology human touch,,"Machine Learning, Artificial Intelligence",0,2
21,Rohbau3D: A Shell Construction Site 3D Point Cloud Dataset,"We introduce Rohbau3D, a novel dataset of 3D point clouds that realistically represents indoor construction environments. The dataset comprises 504...",construction computer vision,2025-12-27,introduce rohbau3d novel dataset point cloud realistically represents indoor construction environment dataset comprises 504,Construction Management,,1,0
22,Doxel and Stream Data Centers Partner to Speed Up Construction,"The collaboration will use Doxel computer vision to automatically track construction progress to keep projects on schedule and on budget. MENLO PARK, Calif.",construction computer vision,2025-12-27,collaboration use doxel computer vision automatically track construction progress keep project schedule budget menlo park calif,,Computer Vision,0,1
23,"Comment: How AI, AR and computer vision are transforming industry","AI, AR, and computer vision are driving a safer, smarter, and more efficient industrial revolution.",construction computer vision,2025-12-27,computer vision driving safer smarter efficient industrial revolution,,"Computer Vision, Artificial Intelligence",0,2
24,How AI computer vision is helping construction projects go digital,"It is hoped that digital solutions with the assistance of AI and ML can be applied to real-world scenarios that can not only help construction companies, but...",construction computer vision,2025-12-27,hoped digital solution assistance applied real world scenario help construction company,Construction Management,"Computer Vision, Machine Learning, Artificial Intelligence",1,3
25,Building construction crack detection with BCCD YOLO enhanced feature fusion and attention mechanisms,"An effective algorithm for detecting cracks in bare concrete structures in building construction, capable of identifying small targets, is essential for...",construction computer vision,2025-12-27,effective algorithm detecting crack bare concrete structure building construction capable identifying small target essential,Structural,Machine Learning,1,1
26,Building AI agents the safe way,"The best defense against prompt injection and other AI attacks is to do some basic engineering, test more, and not rely on AI to protect you.",construction generative AI,2025-12-27,best defense prompt injection attack basic engineering test rely protect,,Artificial Intelligence,0,1
27,2026 Engineering and Construction Industry Outlook,"In 2026, engineering and construction firms can navigate shifting markets and seize new opportunities by focusing on innovation and resilience.",construction generative AI,2025-12-27,2026 engineering construction firm navigate shifting market seize new opportunity focusing innovation resilience,,,0,0
28,Vercel CEO Guillermo Rauch: Building the Generative Web with AI,"Summary. Vercel Founder and CEO Guillermo Rauch, who led the creation of Next.js, explains how generative AI is redefining every layer of software creation. His...",construction generative AI,2025-12-27,summary vercel founder ceo guillermo rauch led creation next explains generative redefining every layer software creation,,"Generative Design, Artificial Intelligence",0,2
29,Agentic generative AI for context-aware outlier removal and historical cost optimization in construction,Agentic generative AI for context-aware outlier removal and historical cost optimization in construction ... Digital timecards are widely used in construction to...,construction generative AI,2025-12-27,agentic generative context aware outlier removal historical cost optimization construction digital timecard widely used construction,,"Generative Design, Artificial Intelligence",0,2
30,Generative AI Arbitrator Coming Soon For Construction Cases,"The AI arbitrator, leveraging OpenAI's models, will assess construction claims, produce recommendations and draft awards that human arbitrators will review and...",construction generative AI,2025-12-27,arbitrator leveraging openai model assess construction claim produce recommendation draft award human arbitrator review,,"Generative Design, Artificial Intelligence",0,2
31,Artificial Intelligence (AI) is poised to revolutionise construction project management,"AI, especially Generative AI, is set to transform Australia's construction project management by boosting efficiency, predicting risks, and enhancing...",construction generative AI,2025-12-27,especially generative set transform australia construction project management boosting efficiency predicting risk enhancing,Construction Management,"Generative Design, Artificial Intelligence",1,2
32,Top 2024 AI Construction Trends: According to the Experts,What's next for AI in construction in 2024? Industry experts share their trends and outlook for artificial intelligence for construction.,construction generative AI,2025-12-27,next construction 2024 industry expert share trend outlook artificial intelligence construction,,Artificial Intelligence,0,1
33,Balfour to invest £7.2m in Microsoft AI assistant,"Balfour Beatty has announced a £7.2m investment in Microsoft Copilot, a generative AI assistant that helps with work tasks by providing suggestions and...",construction generative AI,2025-12-27,balfour beatty announced investment microsoft copilot generative assistant help work task providing suggestion,,"Generative Design, Artificial Intelligence",0,2
34,Researchers Employ XGBoost and Neural Networks to Predict Housing Productivity in Construction Management,"A recent study conducted by researchers Hassoon, Ghazali, and Khaleel explores the use of advanced machine learning techniques to predict housing...",construction neural networks,2025-12-27,recent study conducted researcher hassoon ghazali khaleel explores use advanced machine learning technique predict housing,Construction Management,Machine Learning,1,1
35,Predicting Housing Productivity with XGBoost and Neural Networks,"In the rapidly evolving field of construction and project management, the quest for enhanced productivity remains a paramount concern.",construction neural networks,2025-12-27,rapidly evolving field construction project management quest enhanced productivity remains paramount concern,Construction Management,"Machine Learning, Artificial Intelligence",1,2
36,Graph neural network–driven text classification for fire-door defect inspection in pre-completion construction,"Defective fire doors in apartment buildings pose significant risks by undermining fire safety measures, enabling the rapid spread of smoke and fire,...",construction neural networks,2025-12-27,defective fire door apartment building pose significant risk undermining fire safety measure enabling rapid spread smoke fire,Construction Management,Machine Learning,1,1
37,Building compositional tasks with shared neural subspaces,"Cognition is highly flexible—we perform many different tasks1 and continually adapt our behaviour to changing demands2,3. Artificial neural networks trained...",construction neural networks,2025-12-27,cognition highly flexible perform many different tasks1 continually adapt behaviour changing demands2 artificial neural network trained,,"Machine Learning, Artificial Intelligence",0,2
38,Intelligent construction method for rock slope fracture network model based on discrete element and neural network,"To address the engineering challenge of accurately characterizing complex internal fracture networks in high-steep rock slopes, this study proposes an...",construction neural networks,2025-12-27,address engineering challenge accurately characterizing complex internal fracture network high steep rock slope study proposes,Geotechnical,"Machine Learning, Artificial Intelligence",1,2
39,OpenAI experiment finds that sparse models could give AI builders the tools to debug neural networks,OpenAI experiment finds that sparse models could give AI builders the tools to debug neural networks ... OpenAI researchers are experimenting with a new approach...,construction neural networks,2025-12-27,openai experiment find sparse model give builder tool debug neural network openai researcher experimenting new approach,,"Machine Learning, Artificial Intelligence",0,2
40,Building retrofit multiobjective optimization using neural networks and genetic algorithm three for energy carbon and comfort,"Abstract. In response to the urgent need for energy-efficient retrofits in industrial buildings under global climate goals, this study presents a robust multi-...",construction neural networks,2025-12-27,abstract response urgent need energy efficient retrofit industrial building global climate goal study present robust multi,,"Generative Design, Machine Learning",0,2
41,Optimizing rural building design with an intelligent framework integrating BES ANN and MCDM,"This study addresses the multi-objective trade-offs among energy consumption, thermal comfort, and construction cost in rural buildings by proposing a...",construction neural networks,2025-12-27,study address multi objective trade offs among energy consumption thermal comfort construction cost rural building proposing,Structural,Artificial Intelligence,1,1
42,Neural Network Construction Enhances Security of Multivariate Polynomial Digital Signatures,Researchers have developed a new digital signature system that uses the structure of neural networks to create a more secure method of verifying digital...,construction neural networks,2025-12-27,researcher developed new digital signature system structure neural network create secure method verifying digital,Structural,Machine Learning,1,1
43,Preparing the Workforce for a Robotic Construction Era | Newswise,"Robots are increasingly being deployed on construction sites to address labor shortages, reduce safety risks, and improve productivity.",construction robotics,2025-12-27,robot increasingly deployed construction site address labor shortage reduce safety risk improve productivity,Construction Management,Robotics/Automation,1,1
44,Shenzhen Establishes Construction Robotics Alliance,"Gelonghui,December 12 — Recently, the founding ceremony of the Shenzhen Construction Robotics Alliance was successfully held. The Shenzhen Construction...",construction robotics,2025-12-27,gelonghui december recently founding ceremony shenzhen construction robotics alliance successfully held shenzhen construction,,Robotics/Automation,0,1
45,Civ Robotics’ AI-powered CivNav brings solar construction a step closer to autonomy,"Once mounted, CivNav guides the operator where to distribute the piles, PV modules, and more. The intuitive interface enables precise placement with up to 2-...",construction robotics,2025-12-27,mounted civnav guide operator distribute pile module intuitive interface enables precise placement,,"Robotics/Automation, Artificial Intelligence",0,2
46,Robotics and AI combine for a fresh look at housebuilding,All3 is one of a handful of pioneering companies looking to redefine the way homes are built by using AI-powered design and robotics.,construction robotics,2025-12-27,all3 one handful pioneering company looking redefine way home built using powered design robotics,Structural,"Robotics/Automation, Artificial Intelligence",1,2
47,Buildroid raises $2M to launch first block-laying robot,"Buildroid AI, an AI robotics startup, secured $2 million in pre-seed funding led by Tim Draper. The company also announced the launch.",construction robotics,2025-12-27,buildroid robotics startup secured million pre seed funding led tim draper company announced launch,,"Robotics/Automation, Artificial Intelligence",0,2
48,Buildroid secures $2mln to launch construction robotics in UAE,Buildroid secures $2mln to launch construction robotics in UAE ... UAE: UAE-based AI robotics startup Buildroid AI has raised $2 million in a pre-seed funding...,construction robotics,2025-12-27,buildroid secures 2mln launch construction robotics uae uae uae based robotics startup buildroid raised million pre seed funding,,"Robotics/Automation, Machine Learning, Artificial Intelligence",0,3
49,"Construction Robots Business Analysis Report 2025: Market to Reach $659.7 Billion by 2030, Fueled by Demolition Robots, Labor Shortage, and Cost Reduction in Robotic Technology","The global market for Construction Robots was valued at US$261.8 Billion in 2024 and is projected to reach US$659.7 Billion by 2030, growing at a CAGR of 16.7%...",construction robotics,2025-12-27,global market construction robot valued 261 billion 2024 projected reach 659 billion 2030 growing cagr,Structural,Robotics/Automation,1,1
50,UAE’s Buildroid AI Raises $2M Pre-Seed to Deploy Construction Robots,UAE-based startup Buildroid AI has raised $2 million in a pre-seed funding round to accelerate deployment of AI-powered robotic solutions in construction.,construction robotics,2025-12-27,uae based startup buildroid raised million pre seed funding round accelerate deployment powered robotic solution construction,,"Robotics/Automation, Artificial Intelligence",0,2
51,Buildroid AI secures $2mn to deploy AI-powered construction robots in UAE,"Buildroid AI secures $2mn to deploy AI-powered construction robots in UAE ... Buildroid AI, a robotics startup focused on automating construction, has emerged...",construction robotics,2025-12-27,buildroid secures 2mn deploy powered construction robot uae buildroid robotics startup focused automating construction emerged,,"Robotics/Automation, Artificial Intelligence",0,2
52,Domex 3D Announces Its Plans to Enter the US Construction Market by the End of 2023,"Berlin, Germany--(Newsfile Corp. - December 19, 2023) - A notable company making waves in the 3D printing arena is the...",construction automation,2025-12-27,berlin germany newsfile corp december 2023 notable company making wave printing arena,,,0,0
53,"""Smart Construction Technology"" Exhibition and Contest Opens at Metaverse","The Smart Construction Challenge 2021, a festival that showcases and communicates smart construction technology, will be held from September 1 at...",construction automation,2025-12-27,smart construction challenge 2021 festival showcase communicates smart construction technology held september,,,0,0
54,From Apprenticeships to Automation: Inside Construction’s New Tech-Driven Workforce,"Construction faces a severe labor shortage, but technology-driven training and industry partnerships are helping attract new workers,...",construction automation,2025-12-27,construction face severe labor shortage technology driven training industry partnership helping attract new worker,,"Robotics/Automation, Artificial Intelligence",0,2
55,Civ Robotics’ AI-powered CivNav brings solar construction a step closer to autonomy,"Civ Robotics has introduced CivNav, an AI-driven material distribution and machine-control system designed to speed up solar construction.",construction automation,2025-12-27,civ robotics introduced civnav driven material distribution machine control system designed speed solar construction,Structural,"Robotics/Automation, Artificial Intelligence",1,2
56,Unlimited Industries raises $12 million to build AI construction company to ‘power America’s future’,Unlimited Industries has raised $12 million in seed funding to build an AI-native construction company focused on accelerating US infrastructure.,construction automation,2025-12-27,unlimited industry raised million seed funding build native construction company focused accelerating infrastructure,Structural,Artificial Intelligence,1,1
57,Construction begins on Pacific Office Automation HQ in Tempe,Construction begins on Pacific Office Automation HQ in Tempe. Innovative real estate developer Creation officially broke ground yesterday on a six-acre...,construction automation,2025-12-27,construction begin pacific office automation tempe innovative real estate developer creation officially broke ground yesterday six acre,Geotechnical,Robotics/Automation,1,1
58,Gravis Robotics raises $23 million and signs series of landmark deals,Gravis Robotics – the earthmoving autonomy platform – says it is “pulling further ahead in the race to transform global construction” as it announces a new...,construction automation,2025-12-27,gravis robotics earthmoving autonomy platform pulling ahead race transform global construction announces new,Geotechnical,"Robotics/Automation, Artificial Intelligence",1,2
59,Functional analysis of hyperautomation in construction for advancing efficiency and sustainability through process optimization and technological integration,"The novelty of the study is based on the comprehensiveness of the approach in evaluating hyperautomation across multiple performance dimensions, hence bridging...",construction automation,2025-12-27,novelty study based comprehensiveness approach evaluating hyperautomation across multiple performance dimension hence bridging,"Structural, Environmental Engineering","Generative Design, Robotics/Automation, Artificial Intelligence",2,3
60,Rockwell Automation to build Wisconsin factory as part of $2B US expansion,The facility will house more than 1 million square feet of manufacturing and warehouse space and allow customers to see its automation and digital solutions...,construction automation,2025-12-27,facility house million square foot manufacturing warehouse space allow customer see automation digital solution,,Robotics/Automation,0,1
61,GenDen-AI presents Structure-AI Concept at Y Combinator Winter 2026 Batch,"GenDen-AI, a company led by Pakistani-origin artificial intelligence researcher and licensed structural engineer Dr. Mustafa Sultan, has presented its...",structural engineering artificial intelligence,2025-12-27,genden company led pakistani origin artificial intelligence researcher licensed structural engineer mustafa sultan presented,Structural,Artificial Intelligence,1,1
62,Conference Partnership with the ARTISTE 2025 on AI in Structural Engineering,"Allow content? ... Data-Centric Engineering (Cambridge University Press) is delighted to renew its publishing partnership with ARTISTE2025 (opens in a new tab), a...",structural engineering artificial intelligence,2025-12-27,allow content data centric engineering cambridge university press delighted renew publishing partnership artiste2025 open new tab,"Structural, Transportation",Artificial Intelligence,2,1
63,Structural engineers lament unethical practices in project execution,Structural engineers under the aegis of the Nigerian Institution of Structural Engineers (NIStructE) have decried rising unethical practices.,structural engineering artificial intelligence,2025-12-27,structural engineer aegis nigerian institution structural engineer nistructe decried rising unethical practice,Structural,,1,0
64,Forecasting bond strength of various FRP bars with different surface characteristics in concrete using machine learning models,"Fiber-reinforced polymer (FRP) bars are gaining prominence in civil infrastructure due to their high strength-to-weight ratio, corrosion resistance,...",structural engineering artificial intelligence,2025-12-27,fiber reinforced polymer frp bar gaining prominence civil infrastructure due high strength weight ratio corrosion resistance,Structural,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
65,Intelligent low carbon reinforced concrete beam design optimization via deep reinforcement learning,Reinforced concrete (RC) beam design currently faces significant challenges from the substantial carbon footprint of cementitious materials and the lack of...,structural engineering artificial intelligence,2025-12-27,reinforced concrete beam design currently face significant challenge substantial carbon footprint cementitious material lack,Structural,"Generative Design, Machine Learning, Artificial Intelligence",1,3
66,Engineering the future: How AI is redefining the role of engineers in the next decade,"AI In Engineering: Discover how artificial intelligence is transforming the role of engineers, enhancing creativity and promoting sustainable practices in...",structural engineering artificial intelligence,2025-12-27,engineering discover artificial intelligence transforming role engineer enhancing creativity promoting sustainable practice,Environmental Engineering,Artificial Intelligence,1,1
67,Digital twins as self-models for intelligent structures,A self-model is an artificial intelligence that is able to create a continuously updated internal representation of itself.,structural engineering artificial intelligence,2025-12-27,self model artificial intelligence able create continuously updated internal representation,Structural,Artificial Intelligence,1,1
68,AI turns drone footage into disaster response maps in minutes,"A tool developed at Texas A&M University is set to transform how emergency responders assess damage after disasters. The technology, known as CLARKE...",structural engineering artificial intelligence,2025-12-27,tool developed texas university set transform emergency responder assess damage disaster technology known clarke,,"Computer Vision, Artificial Intelligence",0,2
69,Machine Learning Surrogates for Unreinforced Masonry Tensile-Strength Prediction,"With advances in computational modeling, finite- or discrete-element method-based computational models are often used to conduct nonlinear structural...",structural engineering machine learning,2025-12-27,advance computational modeling finite discrete element method based computational model often used conduct nonlinear structural,Structural,"Predictive Analytics, Machine Learning",1,2
70,Machine learning-based prediction of crack mouth opening displacement in ultra-high-performance concrete,"Ultra-high-performance concrete (UHPC) has become an essential construction material due to its exceptional strength, durability, and crack-resistance...",structural engineering machine learning,2025-12-27,ultra high performance concrete uhpc become essential construction material due exceptional strength durability crack resistance,,"Predictive Analytics, Machine Learning",0,2
71,Prediction model of axial compressive bearing capacity of concrete-encased steel composite columns based on SHAP and machine learning,The ongoing construction of large-span buildings and high-rise buildings in recent years has raised the performance requirements for structural elements.,structural engineering machine learning,2025-12-27,ongoing construction large span building high rise building recent year raised performance requirement structural element,Structural,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
72,Conference Partnership with the ARTISTE 2025 on AI in Structural Engineering,Announcing a new Collection deriving from the ARTISTE Conference dedicated to AI in Structural Engineering.,structural engineering machine learning,2025-12-27,announcing new collection deriving artiste conference dedicated structural engineering,Structural,Artificial Intelligence,1,1
73,Machine learning-based prediction of compressive energy absorption in shoe soles with different features,"This study conducted 537 force-controlled compression tests on shoe soles to measure strain energy. Various features were studied, including midsole and...",structural engineering machine learning,2025-12-27,study conducted 537 force controlled compression test shoe sol measure strain energy various feature studied including midsole,,"Predictive Analytics, Machine Learning, Artificial Intelligence",0,3
74,Stacked ensemble and SHAP-based approach for predicting plastic rotational capacity in RC columns,The accurate estimation of plastic rotational capacity in reinforced concrete (RC) elements is essential for performance-based seismic design and structural...,structural engineering machine learning,2025-12-27,accurate estimation plastic rotational capacity reinforced concrete element essential performance based seismic design structural,Structural,,1,0
75,Hybrid machine learning models for predicting the tensile strength of reinforced concrete incorporating nano-engineered and sustainable supplementary cementitious materials,"Despite its significance for performance-based design, concrete's tensile strength, which governs crack formation, structural damage, and the longevity of...",structural engineering machine learning,2025-12-27,despite significance performance based design concrete tensile strength governs crack formation structural damage longevity,"Structural, Environmental Engineering","Machine Learning, Artificial Intelligence",2,2
76,Designing Earthquake-Resistant Buildings for Extreme Events,"University researcher uses simulations and machine learning to reshape infrastructure resilience to withstand rare, high-magnitude earthquakes and extreme...",structural engineering machine learning,2025-12-27,university researcher simulation machine learning reshape infrastructure resilience withstand rare high magnitude earthquake extreme,"Structural, Geotechnical",Machine Learning,2,1
77,Forecasting bond strength of various FRP bars with different surface characteristics in concrete using machine learning models,"Fiber-reinforced polymer (FRP) bars are gaining prominence in civil infrastructure due to their high strength-to-weight ratio, corrosion resistance,...",structural engineering machine learning,2025-12-27,fiber reinforced polymer frp bar gaining prominence civil infrastructure due high strength weight ratio corrosion resistance,Structural,"Predictive Analytics, Machine Learning, Artificial Intelligence",1,3
78,KCET Fee Structure 2026: Karnataka CET Fees for Top Engineering Colleges,"KCET Fees Structure 2026: The Karnataka Examinations Authority releases the KCET 2026 fee structure on the official website, cetonline.karnataka.gov.in.",structural engineering computer vision,2025-12-27,kcet fee structure 2026 karnataka examination authority release kcet 2026 fee structure official cetonline karnataka gov,Structural,,1,0
79,"Computer science | Definition, Types, & Facts","Computer science is the study of computers and computing, including their theoretical and algorithmic foundations, hardware and software, and their uses for...",structural engineering computer vision,2025-12-27,computer science study computer computing including theoretical algorithmic foundation hardware software,Geotechnical,Machine Learning,1,1
80,IIT Fees for BTech: Check Annual & Semester wise IIT Fee Structure,"IIT Fees includes annual and semester fee for BTech programme. Get complete IIT fee structure for IIT Delhi, IIT Bombay, IIT Kharagpur and other IITs.",structural engineering computer vision,2025-12-27,iit fee includes annual semester fee btech programme complete iit fee structure iit delhi iit bombay iit kharagpur iits,Structural,,1,0
81,Civil Engineering vs Computer Science Engineering: Which Branch Is Better for Your Career in 2025?,"In the end, pick civil engineering if stability and concrete, large-scale projects appeal to you. Computer science engineering is the more obvious choice if you...",structural engineering computer vision,2025-12-27,end pick civil engineering stability concrete large scale project appeal computer science engineering obvious choice,,,0,0
82,Best Courses to Study in Nigeria (Highest Paying) - Top 16,"Petroleum Engineering is one of the highest-paying courses in Nigeria, given the country's status as an oil-rich nation. This field deals with the...",structural engineering computer vision,2025-12-27,petroleum engineering one highest paying course nigeria given country status oil rich nation field deal,,,0,0
83,Rohbau3D: A Shell Construction Site 3D Point Cloud Dataset,"We introduce Rohbau3D, a novel dataset of 3D point clouds that realistically represents indoor construction environments. The dataset comprises 504...",structural engineering computer vision,2025-12-27,introduce rohbau3d novel dataset point cloud realistically represents indoor construction environment dataset comprises 504,Construction Management,,1,0
84,Department of Civil Engineering & Management (CEM),Structural health monitoring for smart infrastructure (SHM4SI) research team aims to understand how structures behave. Sensor technologies enable engineers...,structural engineering computer vision,2025-12-27,structural health monitoring smart infrastructure shm4si research team aim understand structure behave sensor technology enable engineer,Structural,Artificial Intelligence,1,1
85,"UCF Strengthens Investment in Engineering, Computer Science With 39 New Faculty",The record-breaking number of new faculty in the College of Engineering and Computer Science will help increase research and teaching across key areas such...,structural engineering computer vision,2025-12-27,record breaking number new faculty college engineering computer science help increase research teaching across key area,,,0,0
86,AI turns drone footage into disaster response maps in minutes,"A tool developed at Texas A&M University is set to transform how emergency responders assess damage after disasters. The technology, known as CLARKE...",structural engineering computer vision,2025-12-27,tool developed texas university set transform emergency responder assess damage disaster technology known clarke,,"Computer Vision, Artificial Intelligence",0,2
87,"UIC’s new computer science building signifies enrollment, program growth",The University of Illinois Chicago's new state-of-the-art computer science facility will expand collaborative research and teaching capacity.,structural engineering computer vision,2025-12-27,university illinois chicago new state art computer science facility expand collaborative research teaching capacity,,,0,0
88,2026 Engineering and Construction Industry Outlook,"In 2026, engineering and construction firms can navigate shifting markets and seize new opportunities by focusing on innovation and resilience.",structural engineering generative AI,2025-12-27,2026 engineering construction firm navigate shifting market seize new opportunity focusing innovation resilience,,,0,0
89,Top 2025 AI Construction Trends: According to the Experts,"The AI in construction market is expected to grow from around $3.99 billion in 2024 to $11.85 billion by 2029, reflecting a compound annual growth rate (CAGR)...",structural engineering generative AI,2025-12-27,construction market expected grow around billion 2024 billion 2029 reflecting compound annual growth rate cagr,,Artificial Intelligence,0,1
90,Three case studies show AI in practice within geotechnical engineering,"Three case studies demonstrate how geotechnical engineers are using artificial intelligence (AI) for design, analysis and information management.",structural engineering generative AI,2025-12-27,three case study demonstrate geotechnical engineer using artificial intelligence design analysis information management,"Structural, Geotechnical",Artificial Intelligence,2,1
91,Agentic generative AI for context-aware outlier removal and historical cost optimization in construction,"Digital timecards are widely used in construction to track labor hours, equipment usage, and productivity, yet they are prone to outliers caused by human...",structural engineering generative AI,2025-12-27,digital timecard widely used construction track labor hour equipment usage productivity yet prone outlier caused human,,"Generative Design, Artificial Intelligence",0,2
92,"Conference spotlights AI’s relevance to construction, engineering","The Managing Director of Julius Berger Nigeria PLC, Dr Peer Lubasch, has underscored the importance of Artificial Intelligence.",structural engineering generative AI,2025-12-27,managing director julius berger nigeria plc peer lubasch underscored importance artificial intelligence,,Artificial Intelligence,0,1
93,Top 2024 AI Construction Trends: According to the Experts,What's next for AI in construction in 2024? Industry experts share their trends and outlook for artificial intelligence for construction.,structural engineering generative AI,2025-12-27,next construction 2024 industry expert share trend outlook artificial intelligence construction,,Artificial Intelligence,0,1
